Head to head statistics:

 1) Stockfish 13        3696.3 :   1200 (+882,=314,-4),  86.6 %

    vs.                        :  games (   +,   =, -),   (%) :    Diff,    SD, CFS (%)
    Spike 1.4                  :    100 (  24,  32,  44),  40.0 :   -49.4,  14.4,    0.0
    Zappa Mexico II            :    100 (  43,  29,  28),  57.5 :   +18.9,  15.9,   88.2

20) Gaviota 1.0         2858.6 :   1100 (+405,=332,-363),  51.9 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Ethereal 9.04              :    100 (  14,  28,  58),  28.0 :  -164.2,  12.8,    0.0
    Hakkapeliitta 3.0          :    100 (  17,  26,  57),  30.0 :  -126.5,  11.6,    0.0
    Crafty 25.2                :    100 (  17,  34,  49),  34.0 :  -114.8,  11.7,    0.0
    DiscoCheck 5.2.1           :    100 (  19,  34,  47),  36.0 :   -78.9,  11.5,    0.0
    Rodent III                 :    100 (  26,  41,  33),  46.5 :   -50.6,  12.2,    0.0
    Sjeng 3.0                  :    100 (  27,  31,  42),  42.5 :   +27.0,  12.4,   98.5
