Head to head statistics:

 1) Stockfish 16.1     3768.9 :   2200 (+759,=1432,-9),  67.0 %

    vs.                       :  games (   +,    =, -),   (%) :    Diff,    SD, CFS (%)
    Demolito 20211004         :    200 (   9,  72,  119),  22.5 :  -196.3,   8.4,    0.0
    iCE 4.0                   :    200 (  19,  84,   97),  30.5 :  -135.5,   7.3,    0.0
    Weiss 1.3                 :    200 (  19,  92,   89),  32.5 :  -135.4,   8.4,    0.0
    Senpai 2.0                :    200 (  24,  86,   90),  33.5 :  -119.9,   8.6,    0.0
    Orion 1.0                 :    200 (  39, 106,   55),  46.0 :   -86.9,   8.2,    0.0
    Crafty 25.3               :    200 (  70,  80,   50),  55.0 :   +23.7,   7.6,   99.9
    Spike 1.4                 :    200 (  53,  97,   50),  50.8 :   +40.7,   7.9,  100.0
    Gaviota 1.0               :    200 (  73,  91,   36),  59.3 :   +78.8,   7.7,  100.0

22) Crafty 25.3        2980.7 :   3200 (+790,=1014,-1396),  40.5 %

    vs.                       :  games (   +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    200 (   1,   14,  185),   4.0 :  -534.0,   8.3,    0.0
    Hiarcs 15.3.1             :    200 (   0,   17,  183),   4.3 :  -476.7,   8.1,    0.0
    Shredder 13               :    200 (   6,   57,  137),  17.3 :  -247.3,   7.5,    0.0
