Head to head statistics:

 1) Stockfish 16.1     3804.3 :   9792 (+4057,=5703,-32),  70.6 %

    vs.                       :  games (    +,    =,  -),   (%) :    Diff,    SD, CFS (%)
    Wasp 7.00                 :    879 (    1,  156,  722),   9.0 :  -460.7,   4.1,    0.0
    Hiarcs 15.3.1             :    879 (   48,  292,  539),  22.1 :  -254.0,   3.9,    0.0
    Demolito 20211004         :    879 (  129,  344,  406),  34.2 :  -140.1,   3.9,    0.0
    Senpai 2.0                :    878 (  179,  396,  303),  42.9 :   -71.8,   3.8,    0.0
    iCE 4.0                   :    879 (  185,  351,  343),  41.0 :   -71.7,   3.4,    0.0
    Weiss 1.3                 :    879 (  235,  302,  342),  43.9 :   -66.2,   3.8,    0.0
    Rodent 4                  :    878 (  282,  408,  188),  55.4 :   +75.1,   4.1,  100.0
    Crafty 25.3               :    879 (  301,  384,  194),  56.1 :  +100.3,   3.6,  100.0
    Spike 1.4                 :    879 (  462,  232,  185),  65.8 :  +116.5,   3.6,  100.0
    Gaviota 1.0               :    879 (  411,  288,  180),  63.1 :  +130.2,   3.6,  100.0

21) Rodent 4           2983.2 :   9667 (+1469,=3091,-5107),  31.2 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    879 (    4,   63,  812),   4.0 :  -535.9,   4.5,    0.0
    Wasp 7.00                 :    879 (    6,   74,  799),   4.9 :  -535.9,   4.3,    0.0
    Hiarcs 15.3.1             :    879 (    7,  182,  690),  11.1 :  -329.2,   4.2,    0.0
    Demolito 20211004         :    879 (   50,  283,  546),  21.8 :  -215.2,   4.2,    0.0
    Senpai 2.0                :    879 (   86,  310,  483),  27.4 :  -147.0,   3.9,    0.0
    iCE 4.0                   :    878 (   87,  347,  444),  29.7 :  -146.8,   3.6,    0.0
    Weiss 1.3                 :    879 (   79,  354,  446),  29.1 :  -141.3,   4.1,    0.0
    Orion 1.0                 :    878 (  188,  408,  282),  44.6 :   -75.1,   4.1,    0.0
    Crafty 25.3               :    879 (  321,  347,  211),  56.3 :   +25.2,   3.9,  100.0
    Spike 1.4                 :    879 (  291,  388,  200),  55.2 :   +41.3,   3.8,  100.0
    Gaviota 1.0               :    879 (  350,  335,  194),  58.9 :   +55.1,   3.8,  100.0

22) Crafty 25.3        2958.0 :  14667 (+3710,=4242,-6715),  39.8 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    879 (    4,   55,  820),   3.6 :  -561.1,   4.1,    0.0
