Head to head statistics:

 1) Stockfish 16.1     3607.4 :   1100 (+258,=841,-1),  61.7 %

    vs.                       :  games (   +,   =, -),   (%) :    Diff,    SD, CFS (%)
    Hiarcs 15.3.1             :    100 (   0,  36,  64),  18.0 :  -271.4,  10.4,    0.0
    Shredder 13               :    100 (   2,  50,  48),  27.0 :  -203.5,  10.3,    0.0
    Demolito 20211004         :    100 (   7,  47,  46),  30.5 :  -126.5,  10.4,    0.0
    iCE 4.0                   :    100 (   8,  48,  44),  32.0 :   -89.8,   9.2,    0.0
    Weiss 1.3                 :    100 (  14,  50,  36),  39.0 :   -85.7,  10.5,    0.0
    Orion 1.0                 :    100 (  14,  43,  43),  35.5 :   -83.3,  10.7,    0.0
    Senpai 2.0                :    100 (  18,  49,  33),  42.5 :   -53.8,  10.2,    0.0
    Spike 1.4                 :    100 (  37,  51,  12),  62.5 :   +52.5,   9.8,  100.0
    Crafty 25.3               :    100 (  34,  51,  15),  59.5 :   +62.7,  10.0,  100.0
    Gaviota 1.0               :    100 (  51,  41,   8),  71.5 :  +135.9,  10.0,  100.0

22) Spike 1.4          2957.8 :   1600 (+345,=646,-609),  41.8 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    100 (   0,  13,  87),   6.5 :  -451.6,  10.8,    0.0
    Hiarcs 15.3.1             :    100 (   0,  26,  74),  13.0 :  -323.8,   9.8,    0.0
    Shredder 13               :    100 (   1,  40,  59),  21.0 :  -256.0,   9.6,    0.0
    Demolito 20211004         :    100 (   3,  45,  52),  25.5 :  -179.0,   9.6,    0.0
